organism,drug_code,drug_name,drug_class,omega,period,AIC,month,seasonal_deviate,sem
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,2,0.054836193157055645,0.020929985469315706
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,3,0.006534815141909597,0.019781765946012074
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,4,-0.013324299704049535,0.01984608630412489
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,5,0.030904283974905893,0.019182994511818145
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,6,0.019525176232254797,0.01887975788261533
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,7,-0.036732599050403825,0.018252277826861944
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,8,-0.03429115805355343,0.01782098915375485
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,9,-3.4161248208875715e-5,0.01806520209857838
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,10,0.008765138587069404,0.017923283002553782
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,11,-0.020049892579303823,0.018902953412288113
E. coli,TET,Tetracycline,Tetracyclines,0.5235987755982988,12,421906.92344800173,12,-0.004040812127170441,0.01900717981640203
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,1,-0.020096661218366573,0.026565818033586475
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,2,0.006164256908033781,0.029722860752840703
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,3,-0.001984919705514485,0.02678696767121046
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,4,0.03753276944547129,0.02788680204787911
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,5,0.008517284938621143,0.026020695627052844
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,6,-0.013333956400313058,0.02372202689288469
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,7,0.006354959231153302,0.023055879189772355
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,8,-0.002746808405148813,0.02148220968065345
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,9,-0.003269648581593984,0.022084853755101712
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,10,-0.05294255287860396,0.02236019474840132
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,11,0.018458637295645286,0.02515789912156267
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,1.0471975511965976,6,64320.86092868488,12,0.03150490317225243,0.025391992440074587
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,1,0.011183121397425283,0.02656519328606123
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,2,0.03166135886450436,0.029721932230790362
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,3,0.0176795110962059,0.026787163328245753
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,4,0.05129617716967951,0.027887102622429848
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,5,0.016219998135829312,0.026020551837998396
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,6,-0.011509762642228102,0.02372260265066614
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,7,0.0023109389198589414,0.02305560590525039
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,8,-0.012676764881694193,0.02148230259700529
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,9,-0.019096397781949236,0.022085002089484898
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,10,-0.07467036772699165,0.02236037236024871
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,11,-0.00909550195455301,0.025158161751982697
K. pneumoniae,AMC,Amoxicillin/Clavulanate,Penicillins,0.5235987755982988,12,64317.20432113712,12,-0.0019382433462642058,0.02539170177707619
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,1,-0.0011410238619903334,0.028672079792306068
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,2,-0.013508579168747273,0.03158210281511185
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,3,0.021652714491741668,0.029748386391364724
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,4,0.06180868269956211,0.030413300561782437
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,5,-0.026429688524789104,0.027157986220595717
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,6,-0.01809452937614947,0.024904290435269774
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,7,-0.041701635640783295,0.02393342732085031
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,8,-0.04222964541956918,0.022374593542781564
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,9,-0.0028334674828771654,0.023320578968946095
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,10,-0.002288152726399447,0.024269695411405983
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,11,0.02517736218343863,0.02610435875890622
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,1.0471975511965976,6,88956.52247576276,12,0.06177166638580412,0.026722321815373384
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,1,0.0433945769021982,0.028671506507729184
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,2,0.02257858953142267,0.03158075028114766
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,3,0.04925170829146003,0.029749751251012264
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,4,0.08094268456829017,0.030413929685325317
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,5,-0.015772862585307974,0.027158107408466452
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,6,-0.015880654640941474,0.02490451741764395
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,7,-0.04790176423904608,0.023933320185989197
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,8,-0.056813395881019794,0.022375150169333988
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,9,-0.02584219488967437,0.023320124020072008
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,10,-0.03381846655148373,0.024269177426598586
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,11,-0.014603972493486092,0.026104829059424045
K. pneumoniae,CIP,Ciprofloxacin,Quinolones,0.5235987755982988,12,88947.51535255469,12,0.0137008109734609,0.026721636602659093
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,1,0.04772383686704999,0.029883005146171687
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,2,0.021164316033370403,0.03211312224923337
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,3,-0.03911892810563304,0.03008871789624573
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,4,0.00969413825929649,0.031991240090053295
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,5,-0.03737769083920485,0.028751882541657052
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,6,0.009617045051269486,0.027083614742952403
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,7,-0.04542988531965556,0.02819484677676012
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,8,-0.041834741015888105,0.026232566496721878
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,9,0.0369178400726926,0.02585246436393821
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,10,-0.029200094704261485,0.0273579897162493
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,11,0.06730584566572326,0.02834494281082613
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,1.0471975511965976,6,66805.08641111276,12,0.01463521118511447,0.027846558114343493
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,1,0.040702296192734966,0.029883733075992645
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,2,0.014433691025797222,0.03210840357784585
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,3,-0.04508684807913301,0.0300909607100914
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,4,0.004491686605774872,0.03199221809270566
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,5,-0.042062037659786826,0.028759452245715158
K. pneumoniae,NIT,Nitrofurantoin,Nitrofurans,0.5235987755982988,12,66798.49084531929,6,0.0059971829211948385,0.027075593575019312
