drug_class,i,j,x,y,scale,amplitude,power,p.value,coi_raw,coi,sig
Quinolones,8,63,8,4.1,16.37549226598727,0.12149393851778968,0.014760777096564457,0.71,3.3738885508087666,3.3738885508087666,0
Quinolones,8,64,8,4.15,16.95297275361238,0.14183777353907998,0.02011795400252334,0.64,3.3738885508087666,3.3738885508087666,0
Quinolones,8,65,8,4.2,17.550818046653465,0.16005414664577233,0.025617329858506392,0.53,3.3738885508087666,3.3738885508087666,0
Quinolones,9,1,9,1,1.9098593171027443,0.2077204503710152,0.04314778550233738,0.86,3.5665336287511624,3.5665336287511624,0
Quinolones,9,2,9,1.05,1.977210360468118,0.2531392355480018,0.06407947257382672,0.86,3.5665336287511624,3.5665336287511624,0
Quinolones,9,3,9,1.0999999999999999,2.0469365332484086,0.312659234250759,0.09775579676227097,0.78,3.5665336287511624,3.5665336287511624,0
Quinolones,9,4,9,1.1500000000000001,2.119121594201547,0.3856110233851596,0.14869586135615015,0.69,3.5665336287511624,3.5665336287511624,0
Quinolones,9,5,9,1.2000000000000002,2.193852255831683,0.46794772256088685,0.21897507104992076,0.61,3.5665336287511624,3.5665336287511624,0
Quinolones,9,6,9,1.25,2.2712182885528214,0.5527727230875743,0.30555768338965217,0.51,3.5665336287511624,3.5665336287511624,0
Quinolones,9,7,9,1.3,2.3513126285257804,0.6314616591367448,0.39874382695973054,0.4,3.5665336287511624,3.5665336287511624,0
Quinolones,9,8,9,1.35,2.4342314892980115,0.6951310565215666,0.48320718574078936,0.33,3.5665336287511624,3.5665336287511624,0
Quinolones,9,9,9,1.4,2.5200744773803887,0.7361797372309922,0.5419606055094929,0.26,3.5665336287511624,3.5665336287511624,0
Quinolones,9,10,9,1.45,2.6089447118998073,0.7495448995134814,0.5618175563866749,0.23,3.5665336287511624,3.5665336287511624,0
Quinolones,9,11,9,1.5,2.7009489484713187,0.733364033444645,0.5378228055501983,0.26,3.5665336287511624,3.5665336287511624,0
Quinolones,9,12,9,1.55,2.7961977074386084,0.6889551245012597,0.47465916357654636,0.29,3.5665336287511624,3.5665336287511624,0
Quinolones,9,13,9,1.6,2.8948054066368654,0.620300076684092,0.38477218513429046,0.38,3.5665336287511624,3.5665336287511624,0
Quinolones,9,14,9,1.6500000000000001,2.996890498837522,0.5333595223279879,0.28447238005793934,0.42,3.5665336287511624,3.5665336287511624,0
Quinolones,9,15,9,1.7000000000000002,3.102575614039975,0.43548114488498896,0.1896438275503408,0.48,3.5665336287511624,3.5665336287511624,0
Quinolones,9,16,9,1.75,3.2119877067812097,0.33500843581582124,0.11223065206776323,0.69,3.5665336287511624,3.5665336287511624,0
Quinolones,9,17,9,1.8,3.3252582086402898,0.2411881550948948,0.05817172615807903,0.81,3.5665336287511624,3.5665336287511624,0
Quinolones,9,18,9,1.85,3.4425231861209054,0.1646735135684124,0.027117366070966098,0.9,3.5665336287511624,3.5665336287511624,0
Quinolones,9,19,9,1.9,3.563923504101635,0.11762295432363534,0.013835159383820005,0.95,3.5665336287511624,3.5665336287511624,0
Quinolones,9,20,9,1.9500000000000002,3.6896049950502747,0.10346329746162818,0.010704653921633353,0.97,3.5665336287511624,3.5665336287511624,0
Quinolones,9,21,9,2,3.8197186342054885,0.102228355178388,0.010450636602478653,0.97,3.5665336287511624,3.5665336287511624,0
Quinolones,9,22,9,2.0500000000000003,3.954420720936236,0.09165719317421218,0.008401041060574847,0.97,3.5665336287511624,3.5665336287511624,0
Quinolones,9,23,9,2.1,4.093873066496817,0.06189332740555355,0.003830783977331046,0.98,3.5665336287511624,3.5665336287511624,0
Quinolones,9,24,9,2.15,4.238243188403094,0.011690072282008591,1.3665778995858554e-4,1,3.5665336287511624,3.5665336287511624,0
Quinolones,9,25,9,2.2,4.387704511663366,0.061131257879179765,0.0037370306898907787,1,3.5665336287511624,3.5665336287511624,0
Quinolones,9,26,9,2.25,4.542436577105643,0.14783751671456272,0.02185593134832861,0.95,3.5665336287511624,3.5665336287511624,0
Quinolones,9,27,9,2.3,4.702625257051561,0.24437284204783058,0.059718085930533966,0.77,3.5665336287511624,3.5665336287511624,0
Quinolones,9,28,9,2.35,4.868462978596023,0.3434859680674871,0.11798261025925876,0.65,3.5665336287511624,3.5665336287511624,0
Quinolones,9,29,9,2.4000000000000004,5.040148954760778,0.4374040161344241,0.19132227333052354,0.39,3.5665336287511624,3.5665336287511624,0
Quinolones,9,30,9,2.45,5.217889423799615,0.518487548106741,0.26882933754174015,0.26,3.5665336287511624,3.5665336287511624,0
Quinolones,9,31,9,2.5,5.4018978969426374,0.5799911369391555,0.33638971892797426,0.17,3.5665336287511624,3.5665336287511624,0
Quinolones,9,32,9,2.55,5.592395414877217,0.6167995686762002,0.3804417079191467,0.14,3.5665336287511624,3.5665336287511624,0
Quinolones,9,33,9,2.6,5.789610813273731,0.6260302320433975,0.39191385143231006,0.12,3.5665336287511624,3.5665336287511624,0
Quinolones,9,34,9,2.65,5.993780997675044,0.6074032839034698,0.36893874929671905,0.12,3.5665336287511624,3.5665336287511624,0
